36,4288,7310,7939,r,
37,5139,r,
38,6777,r,
39,6029,r,
40,6600,r,
41,6583,r,
42,6720,r,
43,6761,r,
44,6820,r,
45,7134,r,
47,8585,r,
48,7623,r,
49,8060,r,
51,7628,r,7908,
52,7906,r,
53,7958,r,
54,8484,r,
56,9341,r,
57,9363,9423,r,
59,10116,r,
60,10239,r,
61,10381,r,
63,10516,10544,r,
64,10855,r,
65,11026,r,
67,11232,r,
69,11315,r,
70,11850,r,
71,12379,r,
72,12363,r,
73,12601,r,
74,12618,r,
75,12719,r,
76,12956,r,
77,13269,r,
78,13341,r,
79,13627,r,
80,13649,r,
81,13784,r,
83,13869,r,
84,13907,r,
85,13939,r,
86,14391,r,
87,14518,r,
89,14834,14877,r,
90,14933,r,
